"During the period of falling in love, each time that we met and á especially when we had not met for a long time.",joy
When I got a letter offering me the Summer job that I had applied á for.  ,joy
[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.],joy
After my girlfriend had taken her exam we went to her parent's á place.,joy
When I pass an examination which I did not think I did well.,joy
Passing an exam I did not expect to pass.,joy
When I had my children.,joy
When my child was born.,joy
When I saw a person I had not seen for a long time.,joy
When I was accepted for a course on finance and accounting.,joy
Passed an exam by 2 points.,joy
I passed an exam that I was absolutely certain that I had failed.,joy
When I won a trip to Greece in a competition.,joy
At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.,joy
I felt very happy when I won the football pools.,joy
When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.,joy
When I passed the first examination that I had to repeat.,joy
The day I was told that I had been accepted as a student of á economics.,joy
When I found out that I had passed the last two exams by a á margin of three marks.,joy
When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.,joy
"New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.",joy
When I got the loan for my studies.,joy
When my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.,joy
"Unexpected visit by a close friend, whom I hadn't seen for half a á year.",joy
"When I was accepted as a student at the college, not having á thought it possible.",joy
"A couple of years ago during the summer holiday, I was fishing at á a lake with my husband.  Suddenly it started raining while the á sun was still shining. I experienced a feeling of joy, happiness á and fulfillment.  the whole nature was full of music.",joy
"I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.",joy
"I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?",joy
"Last night I had a chat with a fellow student.  I had known her á for about half a year, and for the first time we were speaking á \the same language\""- meaning an inspiring discussion and á",joy
"I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...",joy
When I won a tennis match.,joy
Celebrations on the graduation day with the orchestra playing in á the garden ( I am a part of this orchestra).,joy
When I met an old schhol friend (school love) who works in á Sk+vde.,joy
Passed the last exam.,joy
When my one year old son gives me a spontaneous kiss.,joy
"An ex-colleague asked me if I was interested in working in their á accounts bureau.  They needed \clever people\"" and he had á",joy
When my girlfriend became pregnant.,joy
[ No response.],joy
When I passed an exam.,joy
I worked at a lawyer's office during Summer and I got a very á good reference from him.,joy
When I was finally qualified for my profession.,joy
I stopped working (had a boring job).,joy
When I get a hug from someone I love.,joy
When I won an unexpected sum of money.,joy
When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á ,joy
When I recently got an appartment in central Gottenburg.,joy
When my son returned from mountaineering - healthy in body and á soul.,joy
When I was informed that I had been accepted as a student of á Psychology.,joy
When I was acceptted as a student of psychology.,joy
When my son was born.,joy
"When after 10 months of national service I was \downgraded\"" and á",joy
When my older sister told us that she was thinking of joining the á rest of the family for the winter sports holiday.,joy
When I got through the first day here at the department.,joy
When i was asked to be a child's godmother.,joy
When my husband suddenly came to see me at my new job and á brought some flowers and cake with him.,joy
When we were able to afford a new sofa - a leather one which cost á SEK 20000.  I had waited for it for 2-3 years.,joy
"When I recently managed to get my first consulting assignment á \myself\"" i.e on my own initiative.""",joy
When I was appointed to position of trust in a group set up to á change the working environment.,joy
After my girl and I talked things over our relationship changed á and became positive.  A diificult time turned into pleasant one.,joy
"When I was offered a high position of trust, which I later á accepted.",joy
"[ Cycling in the spring sunshine gives me such delight.  á Happiness is to be healthy, my wonderful finance.  Simply being á here on earth.]",joy
"On a boat trip to Denmark, 14 of us had a lot of fun and we á spent SEK 10 each on one armed bandits and against all odds we á won the jackpot of SEK 1000.",joy
When I was at the end-of-term party last week and had fun - was á happy and sang and drank only soft drinks.  It is possible to á have a good time without alcohol.,joy
When I felt that my love was returned.,joy
When I recently got a very positive answer from a clinic telling á me that they would willingly assist and collect data for me for a á clinical pilot study.,joy
"When I began dansing, the teacher came and told me that I was á very good and would soon get into the ballet academy. ",joy
When my 6 month old son is happy and well.,joy
When I gave birth to a healthy boy.,joy
When my husband and I decided to take a few days holiday after a á particularly trying period.,joy
When I gave birth to a child and saw that it was normal when it á was put against my breast.,joy
The high school entrance exam.,joy
