When I was involved in a traffic accident.,fear
When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.,fear
"Every time I imagine that someone I love or I could contact a á serious illness, even death.",fear
"When, for the first time I realized the meaning of death.",fear
"When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",fear
When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.,fear
When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,fear
"It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.",fear
"When, as a child, I was nearly knocked down by a car.",fear
"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",fear
"In a cottage in a large forest, I was alone for a while in the á dark.",fear
"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",fear
When I am out in the dark and a suspicious looking character á comes towards me.,fear
On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,fear
When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,fear
"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",fear
When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,fear
"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",fear
When my father was ill and was waiting for the results of his tests.,fear
When I found out that my father had lung cancer and they did not á know how long he would live.,fear
"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",fear
I met intoxicated people with dubious intentions in a back alley á one Wednesday night.,fear
"When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",fear
"I wandered by mistake into the safety zone of a shooting range, á and was shot at.",fear
"When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",fear
"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)",fear
"I went to practice in Sweden during summer, and I was afraid that á I would not do well.",fear
"Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.",fear
"I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.",fear
When my dog ran out on thin ice last spring.,fear
Risk of being involved in a fight after a party.,fear
"When I was cycling to school, I nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.",fear
Was nearly knocked down by a car.,fear
When someone close to me is travelling by car and is delayed.,fear
I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.,fear
When I nearly collided with another car.,fear
[ No response.],fear
"When I was travelling by tram, I tripped and fell against the á door.  I thought that I was going to fall out.",fear
I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. ,fear
Someone attacked me with a knife.,fear
"I was going home by car late one night when it was cold, dark and á windy.  I became rather panicky on the way to my house.",fear
I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.,fear
My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.,fear
