When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.,guilt
When my uncle and my neighbour came home under police escort.,guilt
I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.,guilt
When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.,guilt
When one has neglected or been unjust to a good friend.,guilt
[ When excuses are necessary and I get out of doing it myself.],guilt
"I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.",guilt
"When I am in an environment or with a person much worse off than á me, I realize how privileged I am.",guilt
When one lets friends down,guilt
At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.,guilt
I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.,guilt
I hapened to overhear something which I was not meant to hear.,guilt
When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.,guilt
I do not help out enough at home.,guilt
"When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.",guilt
When I spanked a child in anger and later regretted it terribly.,guilt
When I realized that I had three more examinations to take.,guilt
"When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.",guilt
"When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.",guilt
I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.,guilt
"Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.",guilt
I experience feelings of guilt because I do not study enough.,guilt
Having been angry and unpleasant towards my parents.,guilt
"Before an accident, my aunt offered me the front seat of the car, á next to the driver. I declined, she took that seat and was killed á there when the car crashed.",guilt
Little contact with my father before he died.,guilt
"I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.",guilt
Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).,guilt
I had told my boyfriend that I did not want to go on with our á relationship.  I knew that I was important to him but I wanted to á be free.  I saw that this was difficult for him but I remained á firm and did not change my mind.,guilt
"At my temporary job, I have to restrict  others' actions and make á them obey me, and this very often gives me  a feeling of guilt.  I á wish there could be some other way of acting.",guilt
Forced to fill in a questionnaire.,guilt
[ No response.],guilt
"I saw a neighbour, from the same appartment block as me, lying    á on the road.  He could have been injured or ill.  I kept 20 á metres away and did not go to help him.",guilt
[ Can not think of anything just now.],guilt
[ No response.],guilt
"I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.",guilt
[ No response.],guilt
The time that I had to put my dog to sleep.,guilt
I do not study enough as I do not understand it properly.,guilt
I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.,guilt
When I was fined for speeding.,guilt
When I feigned sick leave from work.,guilt
By mistake I took a book from the library which was not supposed á to be loaned out.,guilt
I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. ,guilt
I was unfaithful to my partner once when he was working abroad á for a long period.,guilt
"When I broke off with my boyfriend after three years.  It was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.",guilt
I have chosen to put my son in a private school were the á examination marks are low.  Every time that he gives me his term á results I am left with a sense of guilt.,guilt
I arrived an hour late for an important meeting ( I had á misunderstood the time).,guilt
When I lost something that was valuable to my sister.,guilt
I stole a coconut cake from a reception table and when I put á in my mouth I realized that the host was watching me.,guilt
"As the only person in my family into academics, I ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.",guilt
"As I could not be home before midnight I called home at 11.30 and á asked them to leave the door open so that I could get in.  I á actually woke up the whole family by calling them so late.  My á mother could not go back to sleep, besides she had a conference   á the next day and really needed to sleep.",guilt
When one of my parents insinuates something about the other á (they are divorced).,guilt
When I demand too much from my friends.,guilt
When my husband talked about the restrictions he will have to á accept in his life to make our marriage work.  I felt that it was á directed at me as it was me who had demanded the changes.  We á were with a marriage counsellor then.,guilt
Not speaking to my sister-in-law due to lack of interest in a á relationship on my side.,guilt
"[ No answer as I see very little difference between shame and á guilt.  Therefore see answer for \shame\"".]""",guilt
When I decided to take a week s holiday without consulting the á family first.,guilt
I had promised to visit my girlfriend but for different reasons á could not make it.  I rang up later to tell her that I could not á come.,guilt
When I stole money from my mother and she asked me later if I was á responsible.  I never admitted it.,guilt
"When ,due to hunger and tiredness, I became generally irritated á with my fiancee and made cutting remarks which really hurt him.  á Later I realized that my unfounded irritation had hurt the person á I love most on earth.",guilt
I was 4-5 years old when I hid the bicycle keys of a not very á good friend.  After a few hours I pretended that I had found á it.,guilt
Many years ago a friend wanted me to with her to southern Europe á and I preferred to travel alone.  I felt guilty because I wanted á to go on my own.,guilt
"When as a 7 year old, I stole money from my mother.",guilt
